ID,lead_ID,activityType,subject,scheduledAt,completedAt,status_code,createdAt,createdBy,modifiedAt,modifiedBy
a1000001-0000-0000-0000-000000000017,d1a2b3c4-e89b-4d3a-a456-426614174011,Call,Follow-up with Infotech Global,2025-11-11T09:00:00Z,,Planned,2025-11-09T08:00:00Z,gopi.a@company.com,2025-11-09T08:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000018,d1a2b3c4-e89b-4d3a-a456-426614174012,Meeting,License negotiation meeting,2025-11-13T10:30:00Z,,Planned,2025-11-10T09:00:00Z,anitha.raj@company.com,2025-11-10T09:00:00Z,anitha.raj@company.com
a1000001-0000-0000-0000-000000000019,d1a2b3c4-e89b-4d3a-a456-426614174013,Demo,AsiaTech platform demo,2025-11-14T14:00:00Z,2025-11-14T15:00:00Z,Completed,2025-11-10T10:00:00Z,gopi.a@company.com,2025-11-14T15:00:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000020,d1a2b3c4-e89b-4d3a-a456-426614174014,Email,Send revised proposal PetroLine,2025-11-12T08:30:00Z,,Planned,2025-11-10T11:00:00Z,ravi.kumar@company.com,2025-11-10T11:00:00Z,ravi.kumar@company.com
a1000001-0000-0000-0000-000000000021,d1a2b3c4-e89b-4d3a-a456-426614174015,Call,Initial discussion with FinCorp,2025-11-13T09:30:00Z,2025-11-13T10:00:00Z,Completed,2025-11-10T12:00:00Z,prasanth.s@company.com,2025-11-13T10:00:00Z,prasanth.s@company.com
a1000001-0000-0000-0000-000000000022,d1a2b3c4-e89b-4d3a-a456-426614174016,Meeting,Partnership meeting with NexaTech,2025-11-15T11:00:00Z,,Planned,2025-11-11T08:30:00Z,gopi.a@company.com,2025-11-11T08:30:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000023,d1a2b3c4-e89b-4d3a-a456-426614174017,Email,Follow-up email to SkyBridge,2025-11-11T07:30:00Z,2025-11-11T07:45:00Z,Completed,2025-11-10T13:00:00Z,anitha.raj@company.com,2025-11-11T07:45:00Z,anitha.raj@company.com
a1000001-0000-0000-0000-000000000024,d1a2b3c4-e89b-4d3a-a456-426614174018,Demo,Demo for CloudNova solution,2025-11-16T15:00:00Z,,Planned,2025-11-11T09:00:00Z,ravi.kumar@company.com,2025-11-11T09:00:00Z,ravi.kumar@company.com
a1000001-0000-0000-0000-000000000025,d1a2b3c4-e89b-4d3a-a456-426614174019,Call,Requirement discussion with DataCorp,2025-11-12T10:00:00Z,2025-11-12T10:30:00Z,Completed,2025-11-11T10:00:00Z,gopi.a@company.com,2025-11-12T10:30:00Z,gopi.a@company.com
a1000001-0000-0000-0000-000000000026,d1a2b3c4-e89b-4d3a-a456-426614174020,Meeting,Final deal discussion with OmniTech,2025-11-17T12:00:00Z,,Cancelled,2025-11-11T11:00:00Z,prasanth.s@company.com,2025-11-12T09:00:00Z,prasanth.s@company.com
